iter	Passed	Remaining
403	10889	16064
404	10917	16039
405	10944	16012
406	10971	15985
407	10998	15959
408	11024	15930
409	11051	15903
410	11080	15879
411	11105	15849
412	11132	15822
413	11162	15799
414	11188	15771
415	11215	15745
416	11242	15718
417	11268	15689
418	11298	15667
419	11327	15642
420	11354	15615
421	11385	15594
422	11412	15566
423	11437	15537
424	11462	15508
425	11485	15476
426	11512	15448
427	11536	15417
428	11562	15389
429	11592	15366
430	11620	15341
431	11650	15318
432	11679	15294
433	11706	15267
434	11730	15236
435	11755	15207
436	11784	15182
437	11812	15157
438	11839	15129
439	11864	15100
440	11891	15073
441	11918	15046
442	11946	15020
443	11975	14996
444	12004	14971
445	12031	14944
446	12059	14918
447	12086	14892
448	12113	14865
449	12139	14836
450	12165	14809
451	12192	14782
452	12219	14755
453	12249	14731
454	12278	14706
455	12306	14681
456	12334	14655
457	12363	14631
458	12391	14604
459	12417	14577
460	12443	14548
461	12470	14521
462	12495	14492
463	12520	14463
464	12545	14434
465	12570	14404
466	12597	14377
467	12629	14356
468	12659	14333
469	12686	14305
470	12716	14282
471	12744	14256
472	12770	14228
473	12797	14200
474	12826	14176
475	12855	14151
476	12884	14126
477	12906	14094
478	12928	14061
479	12954	14034
480	12981	14006
481	13009	13981
482	13036	13954
483	13062	13926
484	13089	13899
485	13117	13872
486	13142	13844
487	13166	13814
488	13193	13787
489	13221	13760
490	13249	13735
491	13278	13710
492	13306	13684
493	13336	13660
494	13366	13636
495	13397	13613
496	13421	13583
497	13447	13555
498	13470	13524
499	13498	13498
500	13522	13468
501	13554	13446
502	13579	13417
503	13609	13393
504	13637	13367
505	13666	13342
506	13694	13316
507	13724	13291
508	13751	13265
509	13780	13240
510	13806	13212
511	13833	13185
512	13861	13159
513	13889	13132
514	13918	13107
515	13943	13079
516	13967	13048
517	13993	13020
518	14018	12992
519	14045	12964
520	14072	12938
521	14102	12913
522	14129	12886
523	14159	12862
524	14185	12834
525	14212	12807
526	14242	12782
527	14271	12758
528	14298	12730
529	14326	12704
530	14356	12679
531	14382	12652
532	14410	12625
533	14436	12598
534	14461	12569
535	14484	12538
536	14509	12510
537	14537	12483
538	14564	12456
539	14592	12430
540	14621	12405
541	14648	12378
542	14675	12350
543	14702	12324
544	14731	12298
545	14761	12273
546	14786	12245
547	14814	12218
548	14842	12193
549	14870	12166
550	14899	12141
551	14927	12115
552	14957	12090
553	14985	12064
554	15012	12036
555	15040	12010
556	15067	11983
557	15093	11955
558	15121	11929
559	15148	11902
560	15173	11874
561	15201	11847
562	15228	11820
563	15258	11795
564	15287	11770
565	15313	11741
566	15342	11716
567	15371	11691
568	15397	11663
569	15423	11635
570	15447	11606
571	15473	11578
572	15499	11550
573	15524	11521
574	15552	11495
575	15583	11470
576	15612	11445
577	15638	11418
578	15665	11390
579	15691	11362
580	15720	11336
581	15747	11310
582	15775	11283
583	15802	11256
584	15828	11228
585	15854	11200
586	15879	11172
587	15906	11145
588	15930	11115
589	15956	11088
590	15984	11062
591	16012	11035
592	16038	11008
593	16066	10981
594	16093	10954
595	16121	10927
596	16149	10901
597	16179	10876
598	16207	10850
599	16239	10826
600	16264	10797
601	16292	10771
602	16318	10743
603	16344	10715
604	16371	10688
605	16398	10661
606	16423	10633
607	16448	10604
608	16475	10577
609	16501	10550
610	16528	10523
611	16554	10495
612	16578	10466
613	16606	10440
614	16637	10415
615	16664	10388
616	16691	10361
617	16718	10333
618	16746	10307
619	16770	10278
620	16799	10253
621	16826	10225
622	16855	10199
623	16881	10172
624	16908	10144
625	16937	10118
626	16964	10091
627	16989	10064
628	17017	10037
629	17045	10010
630	17072	9983
631	17097	9955
632	17126	9929
633	17155	9903
634	17181	9876
635	17208	9849
636	17237	9823
637	17265	9796
638	17295	9770
639	17323	9744
640	17352	9718
641	17380	9691
642	17405	9663
643	17432	9636
644	17459	9609
645	17487	9582
646	17514	9555
647	17543	9529
648	17572	9503
649	17596	9474
650	17624	9448
651	17649	9420
652	17673	9391
653	17698	9363
654	17727	9337
655	17755	9310
656	17783	9284
657	17811	9257
658	17840	9231
659	17866	9204
660	17895	9177
661	17922	9150
662	17950	9124
663	17978	9097
664	18003	9069
665	18029	9041
666	18056	9014
667	18082	8987
668	18110	8960
669	18138	8933
670	18164	8906
671	18193	8880
672	18218	8852
673	18243	8823
674	18271	8797
675	18302	8772
676	18330	8745
677	18358	8719
678	18384	8691
679	18410	8663
680	18433	8634
681	18457	8606
682	18481	8577
683	18508	8550
684	18536	8523
685	18563	8496
686	18590	8469
687	18613	8441
688	18641	8414
689	18668	8387
690	18696	8360
691	18724	8334
692	18752	8307
693	18778	8279
694	18805	8252
695	18831	8225
696	18855	8196
697	18881	8169
698	18913	8144
699	18941	8117
700	18969	8091
701	18995	8063
702	19018	8034
703	19041	8005
704	19063	7976
705	19091	7950
706	19121	7924
707	19147	7897
708	19173	7869
709	19198	7841
710	19225	7814
711	19254	7788
712	19283	7761
713	19307	7733
714	19334	7706
715	19359	7678
716	19384	7651
717	19410	7623
718	19432	7594
719	19457	7566
720	19483	7539
721	19509	7511
722	19535	7484
723	19560	7456
724	19583	7428
725	19609	7400
726	19639	7374
727	19662	7346
728	19689	7319
729	19715	7291
730	19739	7263
731	19767	7237
732	19795	7210
733	19821	7183
734	19846	7155
735	19876	7129
736	19905	7103
737	19932	7076
738	19958	7048
739	19983	7021
740	20012	6994
741	20040	6968
742	20069	6941
743	20097	6915
744	20122	6887
745	20142	6858
746	20167	6830
747	20196	6804
748	20223	6777
749	20249	6749
750	20278	6723
751	20306	6696
752	20332	6669
753	20362	6643
754	20390	6616
755	20416	6589
756	20439	6561
757	20464	6533
758	20491	6506
759	20519	6479
760	20544	6452
761	20571	6425
762	20598	6398
763	20624	6370
764	20650	6343
765	20674	6315
766	20702	6289
767	20728	6261
768	20755	6234
769	20781	6207
770	20809	6180
771	20836	6153
772	20861	6126
773	20886	6098
774	20912	6071
775	20941	6044
776	20968	6017
777	20996	5991
778	21021	5963
779	21049	5937
780	21073	5909
781	21101	5882
782	21130	5856
783	21160	5830
784	21188	5803
785	21216	5776
786	21244	5749
787	21273	5723
788	21298	5695
789	21324	5668
790	21352	5641
791	21374	5613
792	21402	5586
793	21428	5559
794	21451	5531
795	21477	5504
796	21506	5477
797	21536	5451
798	21561	5424
799	21590	5397
800	21618	5370
801	21647	5344
802	21673	5317
803	21700	5290
804	21729	5263
805	21754	5236
806	21780	5209
807	21806	5181
808	21832	5154
809	21861	5128
810	21888	5101
811	21914	5073
812	21942	5047
813	21972	5020
814	21999	4993
815	22030	4967
816	22058	4940
817	22082	4913
818	22107	4885
819	22129	4857
820	22156	4830
821	22184	4804
822	22211	4776
823	22239	4750
824	22263	4722
825	22288	4695
826	22314	4668
827	22341	4641
828	22367	4613
829	22390	4586
830	22415	4558
831	22444	4532
832	22473	4505
833	22504	4479
834	22529	4451
835	22557	4425
836	22585	4398
837	22608	4370
838	22640	4344
839	22668	4317
840	22694	4290
841	22715	4262
842	22742	4235
843	22768	4208
844	22793	4181
845	22817	4153
846	22847	4127
847	22874	4100
848	22901	4073
849	22928	4046
850	22954	4019
851	22982	3992
852	23007	3964
853	23034	3937
854	23061	3911
855	23087	3883
856	23114	3856
857	23141	3829
858	23166	3802
859	23195	3775
860	23222	3749
861	23249	3722
862	23275	3694
863	23303	3668
864	23331	3641
865	23354	3613
866	23380	3586
867	23405	3559
868	23431	3532
869	23457	3505
870	23483	3478
871	23514	3451
872	23539	3424
873	23566	3397
874	23592	3370
875	23618	3343
876	23642	3315
877	23669	3288
878	23697	3262
879	23723	3235
880	23749	3207
881	23775	3180
882	23801	3153
883	23829	3126
884	23857	3100
885	23885	3073
886	23912	3046
887	23936	3018
888	23964	2992
889	23992	2965
890	24019	2938
891	24045	2911
892	24071	2884
893	24096	2857
894	24125	2830
895	24149	2803
896	24174	2775
897	24200	2748
898	24225	2721
899	24254	2694
900	24280	2667
901	24306	2640
902	24334	2614
903	24358	2586
904	24381	2559
905	24407	2532
906	24433	2505
907	24461	2478
908	24488	2451
909	24516	2424
910	24543	2397
911	24569	2370
912	24596	2343
913	24622	2316
914	24646	2289
915	24672	2262
916	24701	2235
917	24727	2208
918	24757	2182
919	24783	2155
920	24809	2128
921	24840	2101
922	24868	2074
923	24892	2047
924	24920	2020
925	24951	1993
926	24978	1967
927	25004	1939
928	25032	1913
929	25059	1886
930	25084	1859
931	25111	1832
932	25137	1805
933	25163	1778
934	25192	1751
935	25216	1724
936	25241	1697
937	25264	1669
938	25290	1642
939	25317	1616
940	25342	1588
941	25365	1561
942	25390	1534
943	25415	1507
944	25442	1480
945	25467	1453
946	25493	1426
947	25523	1400
948	25550	1373
949	25577	1346
950	25602	1319
951	25628	1292
952	25656	1265
953	25684	1238
954	25711	1211
955	25738	1184
956	25766	1157
957	25794	1130
958	25818	1103
959	25844	1076
960	25867	1049
961	25895	1022
962	25919	995
963	25946	968
964	25972	941
965	26000	915
966	26027	888
967	26053	861
968	26077	834
969	26103	807
970	26130	780
971	26158	753
972	26185	726
973	26213	699
974	26240	672
975	26267	645
976	26295	619
977	26320	592
978	26346	565
979	26372	538
980	26395	511
981	26419	484
982	26443	457
983	26474	430
984	26502	403
985	26532	376
986	26561	349
987	26589	322
988	26616	296
989	26642	269
990	26671	242
991	26699	215
992	26723	188
993	26748	161
994	26773	134
995	26798	107
996	26825	80
997	26848	53
998	26874	26
999	26904	0
