iter	Logloss
0	0.4999923391
1	0.4068335548
2	0.3613878691
3	0.343800362
4	0.3383334021
5	0.3283907442
6	0.324581753
7	0.3210641286
8	0.317283257
9	0.3146353311
10	0.3122964095
11	0.3100353408
12	0.3072513914
13	0.3048536777
14	0.3027449027
15	0.3009198122
16	0.2995438481
17	0.2978946768
18	0.2905600327
19	0.2893873646
20	0.288385215
21	0.2870914767
22	0.2861357144
23	0.2852985344
24	0.2842036459
25	0.2834241349
26	0.2825849698
27	0.2817304193
28	0.2812052997
29	0.2804477484
30	0.2796500824
31	0.2786696005
32	0.278100206
33	0.2775853538
34	0.2770543147
35	0.2765383933
36	0.2760860506
37	0.2755762176
38	0.2748209696
39	0.2743268394
40	0.2737944074
41	0.2734144745
42	0.2726987298
43	0.2720599361
44	0.2702649944
45	0.2696394648
46	0.2690092467
47	0.2679006683
48	0.2672462734
49	0.2669397529
50	0.2664189455
51	0.2660588997
52	0.2656794978
53	0.2653806334
54	0.265000098
55	0.2647202327
56	0.2643727804
57	0.2641351534
58	0.2638702057
59	0.2636209015
60	0.2631186033
61	0.2628538217
62	0.2625887502
63	0.2623875049
64	0.2622050153
65	0.2617717727
66	0.2614900259
67	0.2612367454
68	0.2609125799
69	0.2606854553
70	0.2604567432
71	0.2602870381
72	0.2601246755
73	0.2599749012
74	0.259776611
75	0.2594443092
76	0.2590316984
77	0.2588001119
78	0.2586381448
79	0.2584600424
80	0.2582816478
81	0.2580947902
82	0.257957565
83	0.2577852944
84	0.2576259741
85	0.2572891024
86	0.2570749462
87	0.2568345756
88	0.2566429546
89	0.2556721883
90	0.2554667996
91	0.255260376
92	0.2551143555
93	0.2549847013
94	0.2546998395
95	0.254576326
96	0.254469034
97	0.2543351654
98	0.2541712723
99	0.2540747331
100	0.2539248227
101	0.253470384
102	0.2533427951
103	0.2532240499
104	0.2531153346
105	0.2529712076
106	0.2528556755
107	0.2526886381
108	0.2525026786
109	0.2523413462
110	0.2520934347
111	0.2518399451
112	0.2516657825
113	0.2514794997
114	0.2512866965
115	0.2510515786
116	0.2509609773
117	0.2508288838
118	0.2507369307
119	0.250580984
120	0.2504351176
121	0.2502993383
122	0.2501466975
123	0.2500127256
124	0.2499071703
125	0.2497910139
126	0.2496760894
127	0.2494010755
128	0.2491659554
129	0.2484778411
130	0.2482250323
131	0.248104512
132	0.2480129999
133	0.2476450471
134	0.2475273137
135	0.2473088247
136	0.247091314
137	0.2468892626
138	0.2467749029
139	0.2466225198
140	0.2465069904
141	0.246393901
142	0.2462958166
143	0.2460867041
144	0.2459585994
145	0.2458405586
146	0.2457120494
147	0.2455471433
148	0.245316133
149	0.2451368822
150	0.2450305168
151	0.2449379039
152	0.2448034911
153	0.2447164082
154	0.244630703
155	0.2445488552
156	0.2444449573
157	0.2442751942
158	0.2441058523
159	0.2436252098
160	0.2435199969
161	0.2434041521
162	0.2432474066
163	0.2431503523
164	0.2429454252
165	0.2428514388
166	0.2427767341
167	0.2426903053
168	0.2425743808
169	0.2425000553
170	0.2423802504
171	0.2422313527
172	0.2421617178
173	0.2420169616
174	0.2419232437
175	0.2418064864
176	0.2415804162
177	0.2414621588
178	0.2413991577
179	0.2412693816
180	0.241218088
181	0.2410652375
182	0.2409520516
183	0.2408729227
184	0.2404971144
185	0.2404260307
186	0.2403280971
187	0.2402659584
188	0.24013184
189	0.2400353844
190	0.2399421542
191	0.2398733705
192	0.2397640904
193	0.2396930992
194	0.2395831257
195	0.2395129591
196	0.2394164521
197	0.2392833551
198	0.2391980056
199	0.2391403206
200	0.2390789241
201	0.2389069638
202	0.238806232
203	0.2386979033
204	0.2386191544
205	0.2384956011
206	0.2383979313
207	0.2382847202
208	0.2381210143
209	0.2380438792
210	0.2379878364
211	0.2378929598
212	0.2378082808
213	0.2377460087
214	0.2376640551
215	0.2375996224
216	0.2375150487
217	0.237453998
218	0.2373604392
219	0.2372657677
220	0.2371214101
221	0.2370633621
222	0.2370158239
223	0.2369577454
224	0.2368909254
225	0.2368150073
226	0.2367335473
227	0.2366823186
228	0.2365870883
229	0.2364754066
230	0.2363872405
231	0.2362903869
232	0.2362322828
233	0.2361708211
234	0.2360897325
235	0.2359937055
236	0.2359465167
237	0.2358894397
238	0.2358302833
239	0.2357820409
240	0.2357128587
241	0.2356352656
242	0.2355418394
243	0.2354501402
244	0.235361819
245	0.2352683713
246	0.2351897331
247	0.2350766721
248	0.2350072804
249	0.2349517032
250	0.2348978215
251	0.234796704
252	0.234679772
253	0.2345685812
254	0.2344979958
255	0.2344448576
256	0.2343979722
257	0.2343433094
258	0.2342290258
259	0.234170208
260	0.2340499705
261	0.2339750713
262	0.2339299925
263	0.2338512386
264	0.2337788895
265	0.2336343758
266	0.2335665026
267	0.2335153418
268	0.233463929
269	0.2333983944
270	0.2333449082
271	0.2332447564
272	0.2331820736
273	0.2330981078
274	0.2330221193
275	0.2329593487
276	0.2329132393
277	0.2328532935
278	0.2328145236
279	0.232701953
280	0.2326423134
281	0.2325592669
282	0.2325141758
283	0.2324700477
284	0.2324152339
285	0.2323601299
286	0.2323226676
287	0.2322348252
288	0.2321786376
289	0.2321157337
290	0.2320532159
291	0.2319862737
292	0.2319482999
293	0.2318960244
294	0.2318390644
295	0.2317831475
296	0.23171299
297	0.231670858
298	0.2316231844
299	0.2315836516
300	0.2315512191
301	0.2314804868
302	0.2314168142
303	0.2313470152
304	0.2313089171
305	0.2312704411
306	0.2312116871
307	0.2311544883
308	0.2310899927
309	0.2310499119
310	0.2309453706
311	0.230911725
312	0.2308407304
313	0.2307613391
314	0.2307138541
315	0.2306668455
316	0.2306066321
317	0.2305666047
318	0.2305336553
319	0.2304822396
320	0.2302362691
321	0.2301746218
322	0.2300937514
323	0.2300094734
324	0.2299404657
325	0.2298545594
326	0.2298134761
327	0.2297592754
328	0.2296996176
329	0.2296491516
330	0.2295817929
331	0.2295242481
332	0.2293702108
333	0.2293253357
334	0.2292780982
335	0.2292301274
336	0.2291818551
337	0.2291281503
338	0.2290743147
339	0.2290220748
340	0.2289577965
341	0.2289040481
342	0.2288655113
343	0.2288121104
344	0.2287711599
345	0.2287351669
346	0.2287089226
347	0.2286711415
348	0.2285885232
349	0.2285449861
350	0.2284722391
351	0.2284093662
352	0.2283858829
353	0.2283375731
354	0.2282811771
355	0.2282465107
356	0.2282005307
357	0.2281613516
358	0.228107072
359	0.2280551887
360	0.2279919893
361	0.2279582907
362	0.2279059296
363	0.2278579473
364	0.2278002004
365	0.2277475987
366	0.2276978673
367	0.2276431126
368	0.2276070525
369	0.2275683775
370	0.2275223315
371	0.2274742083
372	0.2274173111
373	0.2273794304
374	0.2273325196
375	0.2272861548
376	0.2272511576
377	0.2271931416
378	0.2271375674
379	0.2270962731
380	0.2270560408
381	0.2270061954
382	0.2269650722
383	0.2269140174
384	0.2268703627
385	0.2268390206
386	0.2267766688
387	0.2267385704
388	0.2266837969
389	0.2266330333
390	0.2265836734
391	0.2265436982
392	0.2264984319
393	0.2264698534
394	0.2264288331
395	0.2263707358
396	0.2263148172
397	0.2262534336
398	0.2262120779
399	0.2260721491
400	0.2260304917
401	0.2259924839
402	0.2259630197
403	0.2259236592
404	0.2258953366
405	0.2258600121
406	0.2257991981
407	0.2257666983
408	0.2255802834
409	0.2255136818
410	0.2254415748
411	0.2254046589
412	0.2253690526
413	0.2253165931
414	0.2252831757
415	0.2252368719
416	0.2252052082
417	0.2251587906
418	0.2251109316
419	0.2250689849
420	0.2250290914
421	0.2249595801
422	0.2249116493
423	0.2248618341
424	0.2248381759
425	0.2248108272
426	0.2247794372
427	0.2247182973
428	0.2246496731
429	0.2246220342
430	0.2245887748
431	0.2245413137
432	0.224491542
433	0.2244531603
434	0.2244178837
435	0.2243704255
436	0.2243352628
437	0.2243064187
438	0.2242629671
439	0.2242380501
440	0.2241943234
441	0.2241518723
442	0.2241018207
443	0.224052997
444	0.2239896292
445	0.2239517107
446	0.2239220062
447	0.2238733895
448	0.2238386053
449	0.2237946574
450	0.2237691175
451	0.2237348072
452	0.2237081586
453	0.223675031
454	0.2235827737
455	0.2235421138
456	0.2234985487
457	0.2234636074
458	0.2234248317
459	0.2234011089
460	0.2233639942
461	0.2233127738
462	0.2232838403
463	0.223255706
464	0.2232236184
465	0.2231892299
466	0.2231308122
467	0.2230918779
468	0.2230647337
469	0.2230293244
470	0.222993792
471	0.2229490372
472	0.2228933055
473	0.2228551947
474	0.2228135613
475	0.2227800317
476	0.222753581
477	0.2227060582
478	0.2226683202
479	0.2226112585
480	0.2225618121
481	0.2225157621
482	0.2224656722
483	0.2224349894
484	0.2224074999
485	0.2223668621
486	0.2223264632
487	0.2221505507
488	0.2221138581
489	0.2220878949
490	0.222054256
491	0.2220168645
492	0.2219697253
493	0.2219256199
494	0.2218745127
495	0.2218328292
496	0.2218024055
497	0.2217715939
498	0.221736103
499	0.2217025926
500	0.2216700204
501	0.2216332706
502	0.2215966159
503	0.2215431305
504	0.2215064745
505	0.221455953
506	0.2214231488
507	0.2213726473
508	0.2213359873
509	0.2212954035
510	0.2212739663
511	0.2212322017
512	0.2212002195
513	0.221166798
514	0.2211379002
515	0.2211023308
516	0.2210600151
517	0.2210216596
518	0.2210019794
519	0.2209713341
520	0.2209358396
521	0.2208962089
522	0.2208601581
523	0.2208145842
524	0.2207889076
525	0.220749123
526	0.2207108547
527	0.2206604798
528	0.220628623
529	0.2205958097
530	0.2205459494
531	0.2205092314
532	0.2204725417
533	0.2204281145
534	0.2204029014
535	0.2203807911
536	0.220349478
537	0.2203235041
538	0.220278882
539	0.2202417508
540	0.2202164431
